comment,sentiment
我很早之前就不吃这种带榨菜的东西了小时候买过结果吃出了烟头太恶心都有心理阴影了,0
我几年前就吃了一箱因为便宜嘛,2
刚吃完老坛酸菜面的我,2
大家看一下白象方便面吧特别好吃,2
网购平台已经搜不到老坛酸菜了,0
吃不起方便面的我逃过一劫,0
今天是一个重要的节日国际消费者权益日食品安全公平交易知悉知情批评监督依法求偿自主选择消费者尊严维护等看央视新闻的晚会真的是对部分企业厂家行为的坑骗感到悲哀同时也对部分企业厂家淡待法律淡待消费者以谋获自身利益的行为感到鄙夷泯视更多的是希望企业部门多一份同理心多一份对消费者的关爱,0
我就说我最近吃完怎么一直拉肚子,0
老痰酸菜,1
还好我不喜欢吃酸菜很少吃泡面吃也是香辣或者小鸡蘑菇,2
前天刚吃一桶,2
杀几个你看这事还多吗,0
刘庸竟是我自己,0
以后我只吃白象,2
我最爱吃老坛酸菜嘴脏了tuituitui,0
你笑庸子干净又卫生庸子笑你不自知,0
整个舍会都向前看了,2
吃过拒绝日资入股的白象香辣牛肉面绝了白象猪骨面和香菇炖鸡的快递明天就到了,2
会不会有亚硝酸,0
我tm昨天老坛酸菜配双汇今天打算去医院洗胃,0
昨天坐火车吃两桶,2
窥一斑而知全豹方便面还是少吃其他口味的未必更卫生,0
我之前吃方便面只吃老坛酸菜,2
幸好我每次吃都不放那个酸菜包光看着就不是好酸菜,0
之前看小人书上说老痰酸菜是笑话看来也不一定是假的哈,0
我从来就不吃这玩意刚上市的时候我有同事吃我就觉得味不对加上自己本身也不喜欢吃酸菜现在看来是正确的选择同情胃里得脚气的同胞们,0
消费者惨商家也惨现在进货的泡面根本卖不出去就算不是老坛酸菜其他口味的也被连累了,0
我们这挖坑给牛做青储饲料的都知道穿个干净靴子,1
夏天拍的为啥才报,0
拒绝统一拒绝康师傅,0
白象是真国货康师傅和统一还有一个什么来着都是日资入股白象因为拒绝日资入股被挤兑出市场而且白象还支持残疾人就业凭这几点不管康师傅和统一有没有这个酸菜问题出现现在我都选择支持白象了既然一二线城市线下市场买不到那我就线上网上买,0
此生再也不买康师傅我说的玛德家里还有几包老坛酸菜,0
我曾经学校半个月放一次假所以每次吃桶面都把那个菜包留下攒到放假前一天晚上都加进去我现在心态崩了我吃了三年,0
资本家真不是东西,0
有句脏话不知道该不该讲,0
你看妈妈们没说错吧方便面确实不健康,0
是我卡BUG了吗我什么我看到的点赞量才一千多,0
以前就不爱吃老谭感觉那个酸菜很难吃现在看来是我后怕不一,0
得亏我从来不吃这个味道的方便面都是香辣的,0
我能吃什么啊还,0
妈呀昨天才持酸菜鱼早上还吃了一个统一酸菜面瞬间不好了我要赔偿,0
我吃过好些老坛酸菜艹,2
建议一个月一次全国突击检查,2
自己做吧兄弟们tb买混合香料回家自己做反正也不难成本也不高,0
我就不一样老痰酸菜刚出我听这名字就反胃偏偏还一直打广告听一次反胃一次出了到现在一次都没吃现在证明我的直觉是对的那是真老痰也是真泡脚,0
无尘车间,2
看来还是罚得太少了,0
我们国家为什么男足和食品安全这么差啊都是臭名昭著全世界了国家真的好好治理一下吧,0
我感觉三一五一年一次还是太少了建议每两个月搞一次,0
别瞎推荐了谁告诉你白象不是脚踩的,0
靠,0
我真草了我最喜欢的就是老坛酸菜方便面一直都只吃老坛酸菜现在的心情就仿佛一万匹草泥马奔腾而过,0
我他喵刚吃完泡面现在用手全扣出来了,0
天道人道修罗道地狱道饿鬼道康师傅道,2
老痰酸菜,1
康师傅干净又卫生,2
惊了我以前一个朋友超喜欢吃说什么过年不收礼只收老坛现在不知道那位姐还好吗,0
老痰涮菜,2
老早就不吃康师傅了,0
还好我从来不喜欢吃酸菜口味的,2
有谁想起十几年前乌龙院漫画的,2
我艹了国人就不配吃干净的酸菜我虽然就1500个粉丝但是都过来看看啊艹凭什么给外国的泡面就质量好这TM是中国的企业啊为啥啊食品安全许可证就是摆设吗中国自家人吃的就是最低标准别怪我粗鄙看到两个标准的时候我的文明就已经丢掉了不要了艹艹,0
xdm有白象啊为什么吃这个,0
我tm穷的都吃泡面了你还搞我,0
罚的太轻了,0
还好我最近买的老坛酸菜都是干吃面,1
我真的会谢这辈子加上下辈子都不会吃老坛酸菜面了,0
这下刘墉了,1
我特么刚吃了两碗,0
服了我比较喜欢吃老坛酸菜,2
人人都笑刘墉人人都是刘墉,2
人人都笑刘墉人人都是刘墉,2
边看边吃,2
我一直吃的大今野搞得我都不敢吃酸菜了,0
再也不会买康师傅任何泡面,0
547,2
还好我不吃老坛酸菜牛肉面康师傅才是yyds,0
干净又卫生啊兄弟们,2
卧c我真不知道我靠着活命的东西是这么做出来的崩溃了,0
这要是在国外被发现裤衩子都得陪光,2
老子之前还吃过真的淦直接爆粗口了,0
真是给我露了一手啊,0
做出一个没问题的食品就这么难,0
老坛酸菜刚出的时候那个时候是特别的香和现在根本不是一个味,0
庸子竟是我自己,0
我要洗胃刚刚吃完看到,2
哈我前几天还看到我几个同学用老坛酸菜拌饭吃的,2
杆菌又微生迅黎,1
干净又卫生,2
是啊你不是吗干净又卫生,0
想起我老家东北那边也吃酸菜传统人家都是用缸自己腌酸菜说是外面买的酸菜可能就是野外刨个大坑腌的场面跟插旗这个差不多,0
是啊你不是吗干净又卫生,0
想起我老家东北那边也吃酸菜传统人家都是用缸自己腌酸菜说是外面买的酸菜可能就是野外刨个大坑腌的场面跟插旗这个差不多,0
干净又卫生,2
土坑酸菜好吃风味足大家是同胞中国人不骗中国人,2
我爸妈说听到这个新闻见怪不怪了说这个东西说只能用脚踩用机器掌握不好力度隔个塑料膜就容易打滑说我们这些个90后00后只是没见过而已,0
不是不支持国产一年只有一个315谁知道你们用的吃的不查时都是咋做的,0
其实生产过程不是离谱的脏包装之前清洗充分我都能接受了老早就知道用脚踩了一点不影响我吃,0
正在恰老坛酸菜牛肉面,2
比我想象的干净,2
多支持支持白象,2
艹前几天买了一箱真是本命年倒霉到了极点烧了电脑坏了发动机买箱泡面都有问题,0
我只吃统一的,2
真刑,0
我妈昨天也买了一大包老坛酸菜,2
足时发酵,2
过两天就忘了只不过现在网络发达了而已,1
唉这菜都齐了怎么还不吃啊,0
想吃白象但听说被打压超市不让卖,0
我佛了,2
这还是多次受到表扬的模范企业其他的同类企业我想不到,2
荔枝今天chi了吗英俊潇洒帅气安小小小小小钟钟满眼都是草莓酱晴转多云ouo扁又扁子橘Liquorch开饭咯,2
昨天刚吃一包,2
比印度街头小吃还恶心,0
真丢脸啊,0
有没有昨天重仓卢布今天梭哈康师傅的老哥,0
欺负国人是吧以后再也不吃康师傅了,0
我买老坛酸菜从来没加过酸菜包没加太好了,2
我决定以后不吃酸菜了我最喜欢的就是酸菜方便面,2
嗯,2
难怪我每次吃酸菜的时候都有一股姜臭味,0
我就是本地人啊,2
国耻这些人,2
建议严肃处理我只要一吃这个老坛酸菜面就拉肚子里面各种添加剂和霉菌对人体健康造成严重影响,0
震撼我一整年,2
工人的脚得多酸啊,0
我好像见过土坑,0
我吃面一吃是老坛酸菜我也超喜欢,2
我咋感觉这个好几年之前就看过了今天才改过来吗,0
这更坚定我只吃白象了,2
还好我不吃酸菜的,1
话说现在如果谁家里还有老坛酸菜泡面的话感觉吃也是能吃的别放酸菜包进去就行,0
已经从热搜下来了,2
我们的父辈见证了小灵通大哥大寻呼机的终结我很荣幸我也能见证一种半吊子应急产品的嗝屁那就是方便面,2
以前有一次肠胃炎半夜肚子突然剧痛想吐起来去洗手间吐了很多酸菜叶晚上吐了4次白天吐了2次当时吐的酸菜巨多我以为是我消化不了酸菜把以前吃的酸菜全部囤在胃里一次性吐出来了,0
酸味原来都是别人的脚酸这碗老坛酸菜十分滴珍贵,2
记得小时候吃老坛酸菜因为怕辣从来不加那个酸菜包和酱包,2
放心明年还有后年还有以后年年都会有的,2
可能我说句你们不爱听的农村里面都是用土坑然后拿脚踩来腌酸菜的不过隔着一层塑料膜,0
建立一个商业帝国要几十年的时间而毁掉它只需要一个晚上而已一个真正能永远长存的商业帝国应该全心全意的为消费者提供高质量的产品让消费者在享受良心产品的同时自愿掏钱形成消费者愿意消费商家安心赚钱的共赢局面共同繁荣才是发展的根本王道欺骗和压榨绝对不是,0
httpsb23tvBV1Zu411i7X5,2
所有的酸菜鱼不都是用这种菜吗艹以后还怎么吃啊,0
宿舍的一天晚上一室友在吃老坛酸菜面另一个室友在一边洗脚吃面的室友觉得很恶心就把面拿到另一个寝室去吃了,0
有人模仿我的面,0
上善若水竟是我自己,0
其实我还想知道酱包制作过程我在酱包里发现过东西,1
这酸爽才正宗康师傅老痰酸菜,2
把白象顶上去支持国货,2
别尬黑葡萄酒也是用脚踩的酸菜有什么大不了的如果能把踩的人换成美少女我就更没意见了,0
Md老子可是最爱吃老坛酸菜啊,2
别引流白象了迟早要被捧杀,0
Md老子可是最爱吃老坛酸菜啊,2
我们学校食堂卖的康师傅的酸菜牛肉面都没有酸菜包只能说还好没有,0
这个事情更恶心的在于这个事情肯定是发现已久然后拖到这几天才曝光大家又吃了好长一段时间,0
能不能把618双11双12都改成和315一样啊,0
恒河水都比这干净,0
还是吃一些军工速食吧,0
这样对比起来我们潮汕的咸菜酸菜放地上晒干再嗮是真干净啊而且现在企业都用企业级烘干机了,1
救命年夜饭都要yue出来了,0
晚上吃的三鲜伊面鸡肉肠鸡蛋,2
真的有两次我在统一的老坛酸菜牛肉面里吃出过烟味没想到真的有人往酸菜堆上扔烟头以后再也不吃了,0
怪不得每次吃咬就会咬到纱子泥,2
啊啊啊,1
这辈子不到真饿死的时候不吃泡面了,0
想起老家广元苍溪县的红心猕猴桃不打药的出口国外打药的国内消化,2
以后绝对不买康师傅,0
我自己家也是食品厂查验都严的狠实在不明白他们怎么躲过的,0
我吃泡面的时候一般本能的拒绝老坛酸菜,0
我家就是做泡菜的我想向大家说的是现在的泡菜方法有很多种他这种就是我这边叫池子泡菜另外常见的还有蹬岗泡菜和传统的用泡菜坛子泡的泡菜现在大家在市面上能买到的基本上都是池子泡菜或者蹬钢泡菜因为这两种最快也最节省成本时间一般几个月就可以传统的泡菜坛子泡的很费时间并且慢得多一点所以做这个的最少我想说的是他这个泡法其实没啥太大问题主要是他那个太不卫生了另外酸菜发黑的原因他的盐放得不够或者说他的酸菜泡的时候没完全淹没在水里放盐的话很考验技术的盐放少了那么酸菜就会坏发黑发软盐放多了不会坏但是会相当相当的咸就没有泡菜的酸味所以他们一般都放点防腐剂,0
我一直不太喜欢吃酸菜泡面现在更喜欢咸蛋黄拌面,2
这视频素材是去年夏天拍的吗,2
干净又卫生兄弟们,2
白象好样的,2
上次吃完酸菜面喝了点牛奶肚子疼拉了我还以为牛奶坏了呢焯,0
正在居家隔离中买的全是方便面我都不敢吃了,0
本来就是日资你能期望他有良心,1
老痰酸菜牛肉面,2
一定要保护好记者人身安全,0
我靠我最爱吃老坛了尤其是统一的,2
这酸爽简直不敢相信,2
从不吃酸菜的我成功逃过一劫,2
我在想视频里这些人怎么这么实诚行业黑幕问什么答什么,0
以前火车上闻见酸菜面的酸味就想吐的原因难道是这个,0
汪涵真地道儿,2
我靠为什么又是这样每次对出口的产品都做的特别用心记得之前梦龙和百梦多咖喱也是国内用的植脂末国外好的动物奶油真想吐,0
过年那段时间疫情封城我吃了半个月的老坛酸菜面,2
还好我从来不吃酸菜的泡面,0
四川家庭里面几乎每家每户都有一个泡菜坛子自己做泡菜吃基本不可能去买外面的啥子酸菜吃,0
有时候我在想我们看刘庸的视频时候老是发元素周期表可能我们吃的东西会不会周四外面光鲜亮丽而已,1
还好我不吃酸菜因为加了酸菜不够辣不好吃没想到躲过一劫,0
三鲜伊面死忠党成功避过一罪,0
本来也不爱吃老坛酸菜牛肉面家东北的酸菜本来可能就是因为以前物资缺乏冬天吃不到新鲜蔬菜所以积酸菜现在冬天也能买到新鲜的蔬菜我们酸菜吃的也少了不爱吃我倒是爱吃酸辣的挺好吃,2
从资本家到工人再到农户没一个是无辜的无辜的只有消费者,0
好的吃白象吧,2
幸好我吃的康帅傅,2
干净又卫生,2
沃日我想吐,0
破案了给中国人的散了散了,0
康师傅和统一快出来挨打,0
看来我妈没骗我,0
吃白象面了,2
我吃酸菜味觉得那个酸菜难吃都不放的,0
还好我方便面都吃不起虽然老坛酸菜我从来都不放酸菜,0
土炕烂菜叶都是年前收烂叶年后喂猪虽然说这猪不挑食玉米杆都吃但我实在是不想吃,0
你们有没有感觉吃康师傅和统一方便面吃一包就犯恶心吃不下我吃思圆的泡面越吃越想吃这是咋回事,0
白象安排上,2
不懂就问这是怎么曝光出来的记者卧底吗,0
泔精又喂牲,0
做法是这样的宁波榨菜都是放这种土坑里的,0
还好不吃老坛酸菜面,0
感谢315不然还不知道要吃多久这玩意,0
真恶心死了再也不吃酸菜味了,0
从今往后除了自家人腌的酸菜再买现成的包装酸菜我把头给这些厂家当球踢,0
那个包装我的天呐我春节的时候买了几包一模一样昨天刚吃完,2
好消息华容上央视了坏消息上的315,2
有些人听着可能不舒服酸菜好久之前刚出的时候我就预想到这一天了所以我从不买老坛酸菜味的也不爱吃,0
真不敢出去吃酸菜鱼这些了,0
我说为啥我觉得不好吃呢方便面我一般只加孜然包然后整个王中王,0
怎么处理呢,0
我艹难怪康师傅老坛酸菜包打开一股臭脚丫味还好没吃可我把统一的吃了,0
意思是罚的不够狠呗犯罪成本不高呗,0
再也不敢吃了,0
就喜欢看时空警察,2
我记得10年左右康师傅就曝光过卖给大陆的方便面是用地沟油做的卖给台湾的是正常的然后那段时间超市基本看不到康师傅方便面一直到1718年才看到一点那次事件发生后我就再没吃过康师傅方便面现在又来一次真不知道这种企业还有什么留下的必要,0
老坛酸菜牛肉面没吃过酸菜鱼肯定吃过吧,1
双汇麻烦大家也去看一下特别是出事之前吃过康师傅跟双汇的,0
我本地人我妈妈在腌豆角时为了看好不好自己都会去尝来收的老板也会这样今年家里还种了豆角好担心收入,2
我说昨天我妈在说什么,0
一点见面,1
腌制食品再也不会吃了自家除外谁知道那些辣白菜榨菜之类的干不干净没曝光前怎么也想不到酸菜和火腿肠是这b样,0
酸菜方便面我选老师傅和二统就是这个味,2
东北腌的酸菜是大白菜腌的用盐腌不是这种用芥菜腌的老坛酸菜,0
脚的味道我知道老坛酸菜臭脚面,1
这只是一部分内幕多的很只是现在没发而已只能说管的不是很严,0
转白象今麦郎了还好这学期开学囤货的时候买的一大堆泡面都没有酸菜的不过看视频里面也有统一我感觉统一也得换了别说今麦郎的面还挺好吃面饼泡出来比统一和康师傅的要好吃虽然调料包上味道还是有点差距我现在是阿宽的料包泡今麦郎的面至于康师傅嘛很早之前就不吃康师傅了,1
我刚刚才吃了一包老坛酸菜现在突然想吐了,0
难怪那么酸的原来是一股子脚丫子味,0
今晚刚吃老坛mad,2
这些人都不掩盖一下吗感觉都说出来都没有那种感觉,0
我我们学校小卖部只有今麦朗,0
以后还敢吃什么啊,0
真的服了,0
还好安徽幸运面没有酸菜,1
正宗土坑九九八十一脚发酵,2
我就说吃了咋呛鼻子原来是这么回事,0
笑死我妈刚买了一整箱,0
突然转头把矛头指向白象的是什么意思想一概而论也得拿出点证据来吧真的是有些脑子不好的就想一棒子打死所有,0
好家伙别人吃好的我们吃差的,0
阿我刚吃完,2
2022年第一个鬼故事,2
还好我从来不加酸菜包,0
感谢记者以身犯险的调查,0
烟哥取柴精心准备码烟侵枝初烟入味老痰工艺足时发酵传统制作这酸爽才正宗,2
总所周知当你家里发现了一只蟑螂,0
我特别喜欢老坛酸菜还有泡脚味的方便面这些年我吃了多少脚气啊,2
httpsb23tvtrdJZ9u,2
老痰酸菜本以为是开玩笑的没想到是真的呕,0
汪涵大怨种,1
不敢吃外面的酸菜了,2
幸好我吃统一的,2
幸亏不爱吃酸菜的,0
多少带点臭,0
还好我每次都只加半包酸菜这算好事吗,0
统一的有没有事前不久吃了五连包,1
WC从来没吃过老坛酸菜和双汇,2
中国人专坑中国人还好我一直都很讨厌吃老坛酸菜面,0
老痰酸菜,1
不敢吃外面的酸菜了,2
幸好我吃统一的,2
幸亏不爱吃酸菜的,0
还地道川味儿真给四川招黑四川家家户户没有哪一家做的不比它好吃不比它们做的来的干净,2
还好我每次都只加半包酸菜这算好事吗,0
统一的有没有事前不久吃了五连包,1
我真的服了酸菜是我最喜欢的味道真是烦死了,0
WC从来没吃过老坛酸菜和双汇,2
这酸爽才正宗桶依老痰酸菜牛肉面,2
是老坛酸菜牛肉面里的吗,0
我说怎么吃着吃着吃出一股狐臭,0
至少人很诚实,2
吃统一,2
难怪每次吃完老坛酸菜方便面肚子疼,0
除了白象其他市面上的那几个都用的这个酸菜哈哈,2
还好我从来不吃酸菜,1
但是从没听说谁吃酸菜牛肉面拉肚子进医院之类的啊唉,0
难怪每次吃完都拉肚子,0
我靠我还挺喜欢吃的,2
那些去超市打假的职业打假人呢,0
一家外国企业怎么可能放心他的食品老早开始就不吃康师傅的东西了,0
康师傅统一的各买了一桶康师傅已经倒厕所了统一留着收藏我还有救吗,0
酸菜从此从我的菜谱消失,0
BV1xL411P7bu,2
我妈在本地饼干厂里上班的时她说里面经常有人小便吐口水干净又卫生兄弟们,0
刚吃双汇火腿肠加康师傅老坛酸菜牛肉面叠buff了属于是,2
终于知道我室友的脚为什么是酸菜缸味了,0
难怪我吃老坛酸菜的时候有种奇怪的味道,0
加料不加价,0
还好不喜欢吃酸菜方便面,0
我喜欢吃竹笋鸡希望竹笋别这样不卫生,0
其实家里自制的酸菜都是不洗干净就熬制的但是切炒之前会洗干净菜也是自己家中的我家就是这样企业问题在于土坑出来之后没洗干净或者压根不洗原因竟然是罚的太少了洗过的就出口让人恶心的在这里所以大家讨论的时候要明白这点不是土坑还是脚踩有问题是入包装前不洗干净,0
感谢我的胃肠道一吃酸菜面就会拉肚子不放酸菜包就没事,0
估计以后就不会再有老坛酸菜面这个口味了就算改正也没多少人会去买了我很庆幸我一直都不喜欢老坛酸菜面也就这个口味刚出来的时候吃了一次后觉得不好吃就不吃了我最喜欢香辣的现在来看非常庆幸不喜欢这个口味,0
每晚肚子饿了来看一遍当减肥,2
httpsb23tvQ4qIvG0,2
我想起来敬汉卿有个视频使用方便面里的酸菜包煮酸菜鱼没想到那也是个作死视频,0
今天白天舍友和我说你没吃老坛酸菜吧出事了我还不信认为是营销号带节奏别人那么大的厂都是机械作业怎么可能有问题现在看到这个我心炸了啊我平常就喜欢吃酸菜一包开胃一包别的没想到啊没想到,0
还好我吃的鲜虾鱼板面,2
之前只知道牛奶和电脑的两套标准好家伙现在又加了一个酸菜的两套标准,1
今天晚上刚吃的我爸说看超市只剩下六包就全买回来了,2
看我视频贴吧2015年就有人曝光了插旗酸菜,0
多少带点臭了,0
杆菌由胃生啊,0
14年贴吧有曝光过的,0
刑啊太刑了家人们还是老坛酸菜可烤啊小日子过得越来越有判头了啊,0
老谭酸菜方便面有股腥味好多年没吃了,0
一直以为他们都是良性的没想到竟然是这样的以后都不想吃酸菜面了,0
香啊造啊,2
以前觉得酸菜包有味儿现在回想起来是真有味儿,2
这酸爽才正宗,2
光脚踩才入味啊反正又吃不出事不说了我舍友还剩一个包老坛面今晚我等他吃完再发给他看,0
nnnd刚买了一箱老坛酸菜rnm退钱,0
好想吐我吃过好多,0
老痰酸菜面,2
无奸不商说了多少遍了你们就是不信,0
还好好久没吃了不然真的几天都吃不下饭了,2
早上刚刚吃了一包现在看着柜子里面的三包陷入沉思,2
噢懂了以后罚你一百万,0
还好还好我吃酸菜面从来不放酸菜包那个油包也是酸的希望得到严惩,0
为了避免吃泡面拉肚子我只用面饼,0
每次吃老坛酸菜都要胃痛后面就再也不吃了现在泡面只吃肉荣和白象今天发现屯的白象挂面和泡面快没了打算买点结果买不到了,0
罐头厂也是出口和国内的也是这样,2
投票入刑法,2
可恶我最喜欢吃的味道现在家里都还有一包,2
还好我以前最讨厌吃老坛酸菜面就算吃也不会放酸菜包,0
口区,2
这样的企业就让它倒闭吧既然敢做就不要怕倒闭还好我基本很少吃方便面吃酸菜面更是一年难得几次,0
干净卫生符合标准的就用来出口土坑腌制的就国内专供现在这种没良心的企业真的越来越多了,2
怪不得老是吃到砂子,0
咱们笑话人家吃元素周期表回头一看我们是真的在吃啊,0
httpsb23tvBV1ii4y1r7bS,2
怪不得越吃越想吐,0
默默的给你们所有人点个赞哈哈哈哈,2
没看视频只是听到老坛酸菜所以昨天还吃了酸菜鱼,0
还好我平常不吃泡面,0
还好我只吃过一次,2
考虑过你们长江对岸我们湖北监利人的感受吗我从小吃你们华容的酸菜长大,1
谁说站在恒河的才是刘庸,0
我说怎么小可爱变多了原来是脑瘫酸菜面吃多了,2
还好我只吃过一次,2
考虑过你们长江对岸我们湖北监利人的感受吗我从小吃你们华容的酸菜长大,1
刚吐了一包想吃,0
这玩意2015年已经有了,0
老脚酸菜,2
还有脚气甲沟炎灰指甲鸡眼刺猴跖疣脚皮的味道,2
看着我床边的5包康师傅老坛酸菜,2
还好我不爱吃酸菜一直没吃过这个,1
我一直都吃老坛酸菜一直是我最喜欢的味道疫情的时候没办法甚至一天两包感谢康师傅,2
强烈抵制抵制,0
别尬黑统一和康师傅是最恶心的台企,0
难道没有人跟我早就觉得统一酸菜面那味道不对我每次都是最多吃一半倒一半我以为这是我不适宜口味,0
康师傅能罚几个亿反正我以后不可能买了,0
欺负国人是吧以后再也不吃康师傅了,0
严查严打为什么好的就要留给外国人国人就只能吃脚踩出来的酸菜要让每天都是315每时每刻保证好我们的食品健康太让人气愤了,0
喵斯呀没背住,0
还好我基本都吃红烧牛肉的,2
老坛酸脚面,2
一般来说我吃泡面时我都只加里面的调味粉其他的酱料包和菜是一点也不加,0
唉东北酸菜名声就是这么被败坏的,0
真好吃到跺jiojio,2
整个人都不好了,0
其实我突然想到一个问题我们该不该批判土坑酸菜要知道农村里很多菜都是用拉的屎尿养出来的但是我们还是照样吃了几千年直到现在,0
以后再买康师傅的东西我就是好吗吃了这么多年无良商家竟然这么坑国内的同胞,0
那意思这酸菜不只卖泡面厂也整颗袋装卖给饭店和超市呗,0
不知道什么时候养的习惯老坛酸菜面我从来都不加酸菜包,0
老坛酸菜都是用脚踩的,2
牛奶,2
建议重罚加量刑,0
一是希望不要只是曝光只有跟进才有效果二是视频里显示的短袖气候明显是夏天相隔这么久才发布完全可以早点曝光而不是为了315晚会三是应该多反思造成这样的后果其实也很简单处罚力度不够警示效果不明显国外罚十万国内罚一千是你你也一样,0
为什么泡面涨价了质量还下降了服了,0
当时正在超市买了一大袋康师傅马上换成白象,2
哎老坛酸菜明明是我最喜欢吃的方便面,0
我在学校的时候老师给我们看了这个视频,2
怕辣真好从不吃这个,2
怪不得他们家的酸菜味这么大了我当时还说这么香,0
口区,2
这不请室友吃桶,0
中国的食品安全任重道远啊,2
呵呵酸菜消亡史,0
感觉还是国内食品安全罚款太少如果国外罚10万国内罚20万那些企业还敢双标吗国内企业甚至供货香港的品质都是不一样的香港的朋友说不敢买内地来的食品怕不卫生虽然我们从小吃到大但是看到这样的新闻时又能怎么反驳呢,0
大学的时候宿舍楼下有个自动售卖机每逢周五老坛酸菜桶面必售空熬夜看剧打游戏必备有时候下午下课去看都没了跑隔壁栋也没了剩下红烧牛肉的那时候还挺挑剔就喜欢吃老坛酸菜红烧牛肉面不爱吃感觉很酸爽毕业之后就基本不怎么吃泡面了结果最近看到这个再想起来当初自己吃的津津有味的样啧啧,2
出口的有退税标准又高又便宜质量又好卖给自己的东西又贵质量又差,0
看我动态,2
看315的时候我正在吃白象的老坛酸菜牛肉面幸好买的不是康师傅的,0
土坑酸菜牛肉面这脚气才正宗,2
太良心了小小一包酸菜这么多料,0
刘经理是污点证人,2
不是光脚我不吃,0
涪陵榨菜跟这个有关系吗我买了10多箱放家里,0
还好我不吃老坛酸菜面只吃香辣的哈哈哈,2
326,2
没想到我也有塌房的一天,2
我们罚太少了,0
食物可以接地气但是不能接脚气,0
对不起我骂人了,0
心寒,0
外国人坑别的国家自己国家吃好的我们国家坑自己国家外国人吃好的,0
食品企业没有犯错机会一次大面积犯错旗下所有产品终生拉黑,0
我们一边吃着泡面一边看刘庸视频还笑话他吃的不干净,0
我觉得啊这作者完全可以出国当卧底,2
今天是2022年3月18日我吃了一包老坛酸菜,2
湖南农村都存在土坑酸菜绝对不止这一处必须继续调查市场追根述源严惩不贷大棚土坑发酵池,0
我叕饿了看傻了我都,0
建议统一牌的也不要吃,0
我当初放假可是吃了一整箱呀,2
不到315就不曝光罚个10002000,0
麻痹就应该罚到他们倒闭破产,0
难怪吃完拉肚子我还以为是我的问题,0
以后再也不吃老坛酸菜面了,0
不要道歉直接禁了吧就这还想涨价到28一袋,0
可是美军在美国群众身上做生化实验啊你只是吃得东西有问题他们是实打实在吸毒不是每一个直立行走的动物都叫人不是每一个人都有人权不是每一个人权都要求人能活得那么好,0
酸萝卜别吃,0
朋友们干净又卫生啊,2
寝室还有一箱,2
消费主张我小时候很喜欢看,2
干净又卫生啊兄弟们,2
艹以后不敢吃了,0
幸好我从来不喜欢吃酸菜基本上有酸菜我都直接挑出去主要是因为我胃酸偏多,0
老师真的没骗大家,2
寝室还有一箱,2
消费主张我小时候很喜欢看,2
干净又卫生啊兄弟们,2
艹以后不敢吃了,0
幸好我从来不喜欢吃酸菜基本上有酸菜我都直接挑出去主要是因为我胃酸偏多,0
老师真的没骗大家,2
问题不大我继续吃,0
庸子看了后都默默的留下了一句话干净又卫生,2
cv15686504以后就是吃象神的,2
建议枪毙,0
白象我以后方便面只吃白象,2
消失吧,0
完了我觉得我肠胃不好是因为吃了老坛酸菜泡面我原先最喜欢吃老坛的经常吃擦泪,2
亡德而富贵谓之不幸,0
我靠我吃了这么多年,0
都差不多的国内有哪家企业的产品与广告是一致的都是夸大其词卫生就别说了,0
我吃了那么多年rnm退钱,0
想吐以后都不敢吃酸菜榨菜,0
五谷道场非油炸国产中粮旗下不错,2
我昨天刚吃了还专门买了两根双汇火腿肠,2
老板今天来收酸菜啊是啊咳咳咳这次有多少咳咳不知道诶打包称一下吧行咳咳,2
艹泡面基本只吃老坛酸菜,0
我吐了,0
很少吃方便面老坛酸菜这种味更是从来不吃同学朋友还笑我这么好吃不吃不会吃0,2
还好吃的少一两次,2
这吃酸菜多是一件美逝啊,2
好险我没吃过老坛酸菜名字就把我劝退了其他方便面也不吃了白象怕炒作良不良心全是正面报导老坛就不需要多说了,0
幸好我从来没吃过,0
幸亏我不喜欢吃这味的不过以后还是买白象吧,0
国内大泡面牌的除了白象基本都是外企别说国产不行了,0
我只发现终究是场笑话闹剧罢了好一个315就跟植树节一样树苗已经准备好了不到植树节不种,0
看到不少隔离小区发的就是老坛酸菜方便面,0
得亏泡面吃的少,0
其实只要高温杀菌再脏其实都没啥危险就是心理作用但是这个酸菜它不是煮之前加的啊,0
看了一个新闻一个人去日本买了个国产电饭锅回国出口的和国内供应标准根本不一样,0
有什么的正常操作大惊小怪,0
我之前还挺喜欢吃呸拉几康师傅,2
我他娘还不如如何刘墉一起吃饭呢,0
康师傅可真不是个东西啊产品没创意就照着统一抄连食品质量都故意恶心人是吧,0
你知道正吃了一半看这个视频的感受吗我去厕所吐了半个小时,0
我比较好奇为什么跟记者什么都说,0
一直觉得味道很奇怪原来是这个原因吗,0
幸好我不爱吃,0
各地的食药监局平时都在干嘛不抽检的吗,0
想到自己吃了这些就恶心,0
httpsb23tvOzxurRE,2
不是我有一个问题既然不是老坛腌制的为啥要叫老坛酸菜,0
怪不得我小时候一吃老坛就淋巴结发炎吐了,0
康师傅进来挨打,0
这就是中国人只坑中国人,0
老痰酸菜,1
我中午还用酸菜料包煮了鱼现在好想吐,0
幸亏我吃不来酸菜面那个味吃了一次之后再也没吃过,0
别引流白象了迟早要被捧杀,0
为什么他们能如此大言不惭,0
老婆饼里没老婆但我们的老痰酸菜绝对有痰,0
